"X_id","latest_count_id","latest_count_type","latest_count_date_start","latest_count_date_end","latest_count_duration","location_name","longitude","latitude","centreline_id","avg_daily_vol","avg_weekday_daily_vol","avg_weekend_daily_vol","avg_wkdy_am_peak_start","avg_wkdy_am_peak_vol","avg_wkdy_pm_peak_start","avg_wkdy_pm_peak_vol","avg_speed","avg_85th_percentile_speed","avg_95th_percentile_speed","avg_heavy_pct"
15,3011852,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Hollywood Cres: Wildwood Cres - Ladykirk Ave",-79.31506,43.679055,1140415,191,191,NA,"07:30:00",15,"17:15:00",19.3,21.5,29.8,34.3,NA
16,3011851,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Arnold Ave: St David St - Dundas St E",-79.364985,43.658965,20140301,241.3,241.3,NA,"08:00:00",10.3,"16:00:00",19,22.2,33.4,38.9,NA
17,3011838,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Prince Edward Dr N: Ln N Bloor E Wendover - King Georges Rd",-79.505905,43.649715,20077963,6141.7,6141.7,NA,"08:15:00",547.7,"15:30:00",548.3,35.6,42.9,47.1,NA
18,3011837,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Prince Edward Dr N: near The Kingsway",-79.506745,43.65167,7027906,5755.7,5755.7,NA,"08:15:00",494.7,"16:45:00",539,37,43.7,48.1,NA
19,3011836,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Prince Edward Dr N: Queen Marys Dr - Kingsgarden Rd",-79.508075,43.65477,10079991,5346.7,5346.7,NA,"08:00:00",436.7,"15:45:00",469,39.8,47.5,52.5,NA
20,3011730,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Boulton Ave: Ln N Dundas E Boulton - First Ave",-79.34883,43.664695,14025148,905,905,NA,"08:15:00",81,"17:15:00",90.7,24.7,31.3,34.2,NA
21,3011744,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Stephen Dr: near River Valley Cres",-79.48663,43.636055,7940108,4141,4141,NA,"08:30:00",283,"17:30:00",357.3,42.4,49.5,54.3,NA
22,3011717,"ATR_SPEED_VOLUME","2025-03-20","2025-03-26",168,"Wellesley St E: Jarvis St - Wellesley Pl",-79.3774214532418,43.6664896646365,7731378,11027.9,11027.9,NA,"08:45:00",576.8,"17:00:00",732.2,28.8,34.9,39.1,NA
23,3011861,"ATR_SPEED_VOLUME","2025-03-19","2025-03-19",24,"Robina Ave: Jesmond Ave - Vaughan Rd",-79.439010810881,43.6906808710423,8145,437,437,NA,"07:15:00",35,"17:30:00",46,29.3,37.8,42.5,NA
24,3011860,"ATR_SPEED_VOLUME","2025-03-19","2025-03-19",24,"Holland Park Ave: Cedric Ave - Robina Ave",-79.436875,43.68667,8426,1038,1038,NA,"08:00:00",136,"16:45:00",88,24.2,32.1,34.7,NA
25,3011859,"ATR_SPEED_VOLUME","2025-03-19","2025-03-19",24,"Lanark Ave: Alameda Ave - Oakwood Ave",-79.44117,43.69677,7634,447,447,NA,"09:15:00",26,"15:30:00",41,30.9,42.6,49.9,NA
26,3011858,"ATR_SPEED_VOLUME","2025-03-19","2025-03-19",24,"Northcliffe Blvd: Amherst Ave - Allenvale Ave",-79.446105,43.69146,8099,831,831,NA,"08:00:00",72,"16:45:00",105,28.4,36.8,39.8,NA
27,3011857,"ATR_SPEED_VOLUME","2025-03-19","2025-03-19",24,"Keywest Ave: Fairbank Memorial Park Trl - Fairbank Memorial Park Trl",-79.448065,43.692735,30093305,3044,3044,NA,"08:00:00",317,"15:00:00",271,34.5,42.3,46.7,NA
28,3012013,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Armadale Ave: Mayfield Ave - Larkin Ave",-79.48242,43.648465,1146032,1484.3,1484.3,NA,"08:15:00",148,"16:45:00",158.3,28.8,37.7,41.9,NA
29,3012012,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Mayfield Ave: Armadale Ave - South Kingsway",-79.4833773368996,43.6477447456681,1146208,429.3,429.3,NA,"08:15:00",37.7,"17:30:00",40.3,29.3,38,42,NA
30,3012011,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Larkin Ave: Armadale Ave - South Kingsway",-79.4838385534618,43.6485179673486,1146116,460.7,460.7,NA,"09:00:00",36.3,"15:30:00",39.7,26.9,36.2,39.6,NA
31,3012010,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Old Mill Dr: Traymore Park Trl - Riverside Dr",-79.488504692989,43.6492427480859,9637,937.7,937.7,NA,"08:00:00",79,"16:30:00",92,30.9,37.9,41.4,NA
32,3012009,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Old Mill Dr: Riverside Dr - Halford Ave",-79.4895063084339,43.6504876254115,9629,1290,1290,NA,"08:00:00",131.7,"17:00:00",133.7,28.3,34.3,38.4,NA
33,3012008,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Traymore Cres: Traymore Park Trl - Riverside Dr",-79.4894716883828,43.648735345107,9640,307,307,NA,"08:00:00",31.3,"16:45:00",29,30.4,39.3,43.9,NA
34,3012007,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Gardenvale Rd: Durban Rd - Meadowvale Dr",-79.518445,43.64446,7846211,815.3,815.3,NA,"08:15:00",92.7,"15:00:00",92.3,33.4,39.7,44.2,NA
35,3012006,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Riverside Dr: Mossom Pl - Mossom Rd",-79.4853757081786,43.6458657081786,30149890,1268.7,1268.7,NA,"09:00:00",93.3,"17:00:00",128.7,30.6,38.2,42.4,NA
36,3012005,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Riverside Dr: Mossom Rd - Brule Gdns",-79.4872367894187,43.6469369052558,30149891,1338,1338,NA,"09:00:00",99.7,"17:15:00",137.7,31.2,38.5,42.6,NA
37,3012003,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Thompson Ave: Ln S Bloor W Brentwood - Meadowvale Dr",-79.51421,43.6455517998976,20044412,697.7,697.7,NA,"08:15:00",78.3,"17:00:00",77.3,30.8,38.5,43,NA
38,3012002,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Ashton Manor: Prince Edward Dr S - Grenview Blvd S",-79.5057335208953,43.6456389126114,911561,177.7,177.7,NA,"08:15:00",22.3,"15:15:00",20.7,27.3,38.5,44.5,NA
39,3012001,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Grenview Blvd S: Athlone Dr - Edgemore Dr",-79.50635,43.64414,7884239,493.7,493.7,NA,"08:00:00",58.7,"17:00:00",47.3,31.4,38.6,42.9,NA
40,3012000,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Meadowvale Dr: Lothian Ave - Monkton Ave",-79.520975,43.643295,911751,665,665,NA,"08:30:00",52.7,"15:15:00",62,31,41.9,47.4,NA
41,3011999,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Elsfield Rd: Ln S Bloor E Elsfield - Meadowvale Dr",-79.508765,43.64676,20052772,404,404,NA,"08:00:00",39.3,"16:45:00",41,32,39.7,44.7,NA
42,3011997,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Grenview Blvd S: Meadowvale Dr - Bermuda Ave",-79.50745,43.64682,7890773,742,742,NA,"08:00:00",56.3,"16:45:00",72,31.9,39.7,44.7,NA
43,3011996,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Humbervale Blvd: Ln S Bloor E Humbervale - Meadowvale Dr",-79.509785,43.646515,20052745,580.7,580.7,NA,"08:15:00",66.7,"15:30:00",58.7,30.3,38.6,43,NA
44,3012041,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Westrose Ave: Belvale Ave - Highgate Rd",-79.51832,43.652985,10756256,263.7,263.7,NA,"08:00:00",38.3,"17:00:00",23.3,37.3,46.1,49.9,NA
45,3012030,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Kingsgrove Blvd: Willingdon Blvd - Royal York Rd",-79.513435,43.65366,910959,2338.7,2338.7,NA,"08:00:00",189.3,"17:15:00",239.3,35.9,42.4,45,NA
46,3012043,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Van Dusen Blvd: Clissold Rd - Green Lanes",-79.52377,43.64117,7673033,882.3,882.3,NA,"08:00:00",79,"16:45:00",93.3,33,41.9,46.5,NA
47,3012039,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Montgomery Rd: White Oak Blvd - Wilgar Rd",-79.517255,43.64819,10756376,4626.3,4626.3,NA,"08:15:00",541.7,"14:45:00",432,40.9,48.3,53.1,NA
48,3012042,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Bering Ave: Islington Ave - Northrop Rd",-79.522495,43.63909,912190,1605.7,1605.7,NA,"08:30:00",133.7,"16:30:00",137,42.9,51.3,56.6,NA
49,3012028,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"The Kingsway: Kingsgrove Blvd - Mellor Rd",-79.512892260444,43.654382260444,10080025,2336,2336,NA,"08:15:00",276.3,"17:15:00",238,39.7,44.9,49.3,NA
50,3012027,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Kingsway Cres: Queen Marys Dr - Kingsgarden Rd",-79.504855433054,43.655259054378,910893,1062.7,1062.7,NA,"08:00:00",97.3,"16:15:00",92.7,34.3,43.1,47.8,NA
51,3012026,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"The Kingsway: King Georges Rd - Kingsway Cres",-79.5037201664016,43.6519072355138,10079876,3608.3,3608.3,NA,"08:00:00",317,"17:00:00",365.3,37.6,43.6,47.5,NA
52,3012024,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Catherine St: near Humber River Recreational Trl",-79.4911401517329,43.6514954131638,30054688,2060.7,2060.7,NA,"08:15:00",196.3,"17:00:00",191.7,33.3,39.6,43.9,NA
53,3012023,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Old Mill Dr: Catherine St - Humberview Rd",-79.4900618910275,43.6526322956765,9607,2363,2363,NA,"08:00:00",235.7,"17:15:00",227.7,39.3,46.5,52.2,NA
54,3012022,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Halford Ave: near Humberview Rd",-79.4885886842961,43.6522741464061,5304092,898.7,898.7,NA,"08:30:00",88.7,"15:15:00",91.3,33.6,39.8,44.4,NA
55,3012021,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Humberview Rd: Humber Trl - Rivercrest Rd",-79.48776,43.65371,10636013,1248.3,1248.3,NA,"08:30:00",115.7,"15:15:00",120.7,33.5,39.7,44.3,NA
56,3012020,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Colbeck St: Runnymede Rd - Beresford Ave",-79.478485,43.65461,10923272,2085.7,2085.7,NA,"08:15:00",188,"16:30:00",204,30.1,36.6,39.4,NA
57,3012019,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Willard Ave: Ln N Bloor E Armadale - Grassmere Rd",-79.4824300520045,43.651568941367,14252566,1016.7,1016.7,NA,"08:30:00",74.3,"17:15:00",91.7,35.2,43.3,48.2,NA
58,3012018,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Morningside Ave: Kennedy Ave - Runnymede Rd",-79.473665,43.64597,7586942,4448.7,4448.7,NA,"08:15:00",399.7,"17:00:00",417,33.2,39,43.4,NA
59,3012017,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Runnymede Rd: Deforest Rd - Bloor St W",-79.47581,43.64995,10906499,4611,4611,NA,"08:15:00",369.7,"17:00:00",414.3,32.8,38.7,42.7,NA
60,3012016,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Morningside Ave: Rambert Cres - Ww S Morningside W Easson",-79.480485,43.64441,30076889,2941.7,2941.7,NA,"08:15:00",341,"16:45:00",287.3,33.7,39.8,44.2,NA
61,3012015,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Windermere Ave: Mayfield Ave - Ostend Ave",-79.48004,43.649045,1145916,5712.3,5712.3,NA,"08:15:00",451,"16:45:00",499.3,34.2,40,44.5,NA
62,3012040,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Riverview Gdns: Ln N Bloor E Old Mill Dr - Halford Ave",-79.4876956774779,43.6497301886351,14066400,713,713,NA,"08:30:00",64,"15:15:00",69,29.2,34.8,38.9,NA
63,3012014,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Armadale Ave: South Kingsway - Sunnybrook Rd",-79.4813696196389,43.645080126787,1146537,672.3,672.3,NA,"08:15:00",68.3,"16:45:00",65.7,26.4,32.5,34.4,NA
64,3012031,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"King Georges Rd: Jackson Ave - Willingdon Blvd",-79.5107418729703,43.6506733067135,2981378,2298.3,2298.3,NA,"08:15:00",225,"15:15:00",224,34.3,41.7,44.8,NA
65,3012032,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Grenview Blvd N: King Georges Rd - The Kingsway",-79.509445,43.651705,911169,375,375,NA,"08:00:00",49.7,"16:45:00",34,34,42.3,44.8,NA
66,3012034,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"King Georges Rd: Kingsmill Rd - Kings Lynn Rd",-79.5045014753072,43.6509699051338,8649701,576,576,NA,"08:15:00",53,"15:45:00",51.3,34.6,43,47.8,NA
67,3012035,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Prince Edward Dr N: Strath Ave - Queen Marys Dr",-79.507725,43.653915,7027935,5037.7,5037.7,NA,"08:15:00",403,"17:00:00",441.3,39.2,44.6,49.3,NA
68,3012036,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Lynngrove Ave: Belvale Ave - Westrose Ave",-79.5183066556978,43.6502010323965,9311822,598,598,NA,"08:15:00",71,"16:45:00",51,33.9,41.7,44.8,NA
69,3012037,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Wilgar Rd: Brentwood Rd N - Upland Rd",-79.515605,43.649195,911275,357.7,357.7,NA,"08:15:00",48,"14:45:00",47,31.1,39,43.7,NA
70,3012038,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Brentwood Rd N: Birchview Blvd - White Oak Blvd",-79.514295,43.64815,911372,991.3,991.3,NA,"08:15:00",111.7,"15:15:00",92,28.3,34.4,38.5,NA
71,3012029,"ATR_SPEED_VOLUME","2025-03-18","2025-03-20",72,"Usher Ave: The Kingsway - Royal York Rd",-79.514375,43.65579,910852,2602,2602,NA,"08:00:00",276,"17:15:00",231.7,32.6,38.2,41.4,NA
72,3011806,"ATR_SPEED_VOLUME","2025-03-05","2025-03-05",24,"St Dunstan Dr: Madelaine Park Trl - Denton Ave",-79.2859995483463,43.6930001914365,30104569,743,743,NA,"08:45:00",37,"14:45:00",70,28.1,37.3,42.7,NA
73,3011782,"ATR_SPEED_VOLUME","2025-03-05","2025-03-05",24,"Maxim Cres: near Lewiston Rd",-79.2866511830236,43.7622202218045,4309381,222,222,NA,"08:45:00",46,"15:30:00",39,26.2,35,39.2,NA
74,3011761,"ATR_SPEED_VOLUME","2025-03-05","2025-03-05",24,"Loretto Lane: Ln W Lippincott N Lennox - Bloor St W",-79.410405,43.664795,14040948,215,215,NA,"08:00:00",8,"16:45:00",19,12.8,21.8,24.4,NA
75,3011756,"ATR_SPEED_VOLUME","2025-03-05","2025-03-05",24,"Robinson Ave: Denton Ave - Newport Ave",-79.2799256988701,43.6955246939802,112899,346,346,NA,"08:30:00",34,"14:45:00",38,24.9,33.8,38.8,NA
76,3011755,"ATR_SPEED_VOLUME","2025-03-05","2025-03-05",24,"Albion Ave: Madelaine Ave - Pharmacy Ave",-79.285315,43.69543,112889,572,572,NA,"08:15:00",42,"17:15:00",98,23.5,34.3,39.9,NA
77,3011754,"ATR_SPEED_VOLUME","2025-03-05","2025-03-05",24,"Patterson Ave: Newport Ave - Noganosh Rd",-79.277355,43.696875,112847,925,925,NA,"08:30:00",95,"15:00:00",100,27.2,34,38.3,NA
78,3011753,"ATR_SPEED_VOLUME","2025-03-05","2025-03-05",24,"Leyton Ave: Denton Ave - Newport Ave",-79.278725,43.69558,112885,1058,1058,NA,"08:30:00",70,"16:15:00",99,29.6,37.3,41.3,NA
79,3011818,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Nixon Hts: Dairy Dr - Edhouse Ave",-79.27564,43.70278,30024937,466.3,466.3,NA,"08:00:00",34.7,"17:00:00",37.7,30.6,38.1,42.3,NA
80,3011821,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Milverton Blvd: Woodington Ave - Glebemount Ave",-79.32061,43.687535,1139357,748.7,748.7,NA,"07:45:00",95.3,"17:15:00",76,28.5,35,39.4,NA
81,3011817,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Brooklawn Ave: Sunnypoint Cres - Sunnypoint Cres",-79.232905,43.714935,112054,194.3,194.3,NA,"08:30:00",14.3,"15:15:00",17.3,30.3,39.9,44.8,NA
82,3011800,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Durnford Rd: Tall Pines Park Trl - Durness Ave",-79.1503782972819,43.79947573634,30100421,3353.3,3353.3,NA,"08:15:00",261.3,"15:00:00",292.7,36,43.2,47.8,NA
83,3011799,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Hupfield Trl: Lady Bower Cres - Lady Bower Cres",-79.21888,43.814935,6947415,1919,1919,NA,"08:15:00",225.3,"15:00:00",190.3,34.5,42.5,46.6,NA
84,3011798,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Staines Rd: Twinflower Crt - Cricket Mews",-79.2238426166066,43.8308461054154,30044511,7121,7121,NA,"08:00:00",549.3,"17:00:00",630.3,35.8,43.1,46.9,NA
85,3011797,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Fenside Dr: Slidell Cres - Roywood Dr",-79.32956700854,43.7643921134237,439443,1627.3,1627.3,NA,"08:15:00",210.3,"17:15:00",174.7,34.4,42.4,46.5,NA
86,3011768,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Ingleton Blvd: Green Spring Dr - Green Spring Dr",-79.26575,43.82386,103125,1468,1468,NA,"08:00:00",153.7,"15:00:00",139.3,39.6,47.3,52.5,NA
87,3011767,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Ingleton Blvd: near Middlefield Rd",-79.2656909322955,43.8272735298747,5000557,2080,2080,NA,"08:00:00",155.3,"17:45:00",184.7,33.2,39.7,44.1,NA
88,3011766,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Ingleton Blvd: Saintsbury Sq - Historic Ter",-79.2710082032013,43.8215530358886,103236,1751.3,1751.3,NA,"08:15:00",280.3,"14:45:00",198.7,33.1,39.7,44.3,NA
89,3011822,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Parma Crt: near Victoria Park Ave",-79.3007386861186,43.7163356878188,8211780,543,543,NA,"08:15:00",31.7,"17:00:00",42.3,27.2,34.7,39.7,NA
90,3011810,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Commons Dr: Esquire Rd - Foxhill Rd",-79.3196922524512,43.7746322524512,107768,1203.7,1203.7,NA,"08:30:00",76.3,"15:30:00",116.7,37.8,45,51,NA
91,3011823,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Wakunda Pl: near O'Connor Dr",-79.3036003171886,43.7159276341518,14676155,820.3,820.3,NA,"08:30:00",88.3,"14:45:00",120.3,19.3,29.8,35,NA
92,3011828,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Cedarcrest Blvd: Ferris Rd - Glencrest Blvd",-79.3006148528992,43.7055911616682,663,537,537,NA,"08:00:00",49.7,"16:45:00",54,32.8,39.8,44.8,NA
93,3011835,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Guild Hall Dr: Ainsdale Rd - Roselm Rd",-79.2927114880466,43.7474418581357,110205,598.3,598.3,NA,"08:00:00",34.7,"15:45:00",54.7,35.1,43.7,49.2,NA
94,3011802,"ATR_SPEED_VOLUME","2025-03-04","2025-03-06",72,"Benlamond Ave: Main St - Norwood Rd",-79.3004915367551,43.6810531943601,1140026,669.3,669.3,NA,"08:00:00",71.3,"16:30:00",93.3,28.9,37.8,42.7,NA
95,3011725,"ATR_SPEED_VOLUME","2025-01-21","2025-01-23",72,"Verbena Ave: Armadale Ave - South Kingsway",-79.4829743497974,43.6470648121179,1146296,277.3,277.3,NA,"08:15:00",32,"15:30:00",26.3,31.7,39.7,44.5,NA
96,3011651,"ATR_SPEED_VOLUME","2025-01-21","2025-01-23",72,"Sancrest Dr: Ada Cres - Ada Cres",-79.2577653547096,43.763343386774,108867,245.7,245.7,NA,"08:15:00",24.7,"17:30:00",28.3,29.7,38.9,43.9,NA
97,3011662,"ATR_SPEED_VOLUME","2025-01-21","2025-01-23",72,"Turner Rd: Bracondale Hill Rd - Tyrrel Ave",-79.42626,43.67738,1140926,694.3,694.3,NA,"08:15:00",120.3,"15:00:00",71.3,30.2,37.5,39.8,NA
98,3011663,"ATR_SPEED_VOLUME","2025-01-21","2025-01-23",72,"Turner Rd: Hillcrest Dr - Bracondale Hill Rd",-79.42599,43.676705,1141026,470,470,NA,"08:15:00",97,"15:00:00",49.3,29.3,37.3,40,NA
99,3011664,"ATR_SPEED_VOLUME","2025-01-21","2025-01-23",72,"Turner Rd: Davenport Rd - Hillcrest Dr",-79.4255053548529,43.6754667489832,1141295,519.3,519.3,NA,"08:00:00",110.7,"15:00:00",56.3,29.1,38.2,42.6,NA
100,3011682,"ATR_SPEED_VOLUME","2025-01-07","2025-01-09",72,"St Andrews Rd: Thomson Memorial Park Trl - Kencliff Cres",-79.2482621335768,43.7597864812889,30010613,739,739,NA,"08:15:00",68,"16:30:00",71,29.4,34.1,36.7,NA
101,3011704,"ATR_SPEED_VOLUME","2025-01-07","2025-01-09",72,"Brooklawn Ave: Ln S Kingston W Harewood - Kingston Rd",-79.2359564650326,43.7217235263814,60025647,1454.3,1454.3,NA,"08:00:00",155,"16:30:00",130.3,24.5,29.1,31.3,NA
102,3011700,"ATR_SPEED_VOLUME","2025-01-07","2025-01-07",24,"Sheffield St: Ingram Dr - Densley Ave",-79.4697533053483,43.7030515061712,11382359,5677,5677,NA,"08:15:00",440,"15:30:00",554,30.2,34.5,38,NA
103,3011695,"ATR_SPEED_VOLUME","2025-01-07","2025-01-09",72,"Chestnut Cres: Ww E Pidgeon N Chestnut - Anaconda Ave",-79.2751253671573,43.7177648777443,30055414,366.7,366.7,NA,"08:45:00",38.7,"15:00:00",60.3,23.8,29.5,32.9,NA
104,3011688,"ATR_SPEED_VOLUME","2025-01-07","2025-01-09",72,"Belsize Dr: Wilfrid Ave - Acacia Rd",-79.39137,43.70144,7324291,846.7,846.7,NA,"08:15:00",116.7,"16:45:00",94,21.1,27.3,29.3,NA
105,3011686,"ATR_SPEED_VOLUME","2025-01-07","2025-01-09",72,"Broadbent Ave: Chipper Cres - Chillery Ave",-79.2571073767343,43.7397561708895,110802,663.7,663.7,NA,"08:15:00",107.3,"14:45:00",76.7,30,34.4,38.2,NA
106,3011685,"ATR_SPEED_VOLUME","2025-01-07","2025-01-09",72,"Broadbent Ave: Midland Ave - Chipper Cres",-79.2591799324268,43.7391037944969,110831,907.7,907.7,NA,"08:15:00",126.7,"14:45:00",96,22.8,28.4,29.6,NA
